year,carrier,origin,dest,passengers
2024,XP,HVN,MCO,163346.0
2024,XP,HVN,FLL,104143.0
2024,XP,HVN,RDU,95542.0
2024,XP,HVN,RSW,87566.0
2024,XP,HVN,PBI,85664.0
2024,XP,HVN,TPA,85450.0
2024,XP,HVN,MYR,63571.0
2024,XP,HVN,SRQ,55059.0
2024,XP,HVN,ILM,44476.0
2024,XP,HVN,ATL,44133.0
2024,XP,HVN,GSP,35985.0
2024,XP,HVN,USA,34510.0
2024,XP,HVN,BNA,34313.0
2024,XP,HVN,DAB,31103.0
2024,XP,HVN,SJU,30350.0
2024,XP,HVN,CHS,27342.0
2024,XP,HVN,BWI,21934.0
2024,XP,HVN,MDW,18446.0
2024,XP,HVN,SAV,15950.0
2024,XP,HVN,TYS,15649.0
2024,XP,HVN,LAL,14202.0
2024,XP,HVN,IAD,13450.0
2024,XP,HVN,HOU,12562.0
2024,XP,HVN,VPS,11810.0
2024,XP,HVN,STL,9128.0
2024,XP,HVN,MSY,3180.0
2024,MX,HVN,MCO,2433.0
2024,MX,HVN,PBI,2309.0
2024,XP,HVN,TVC,2099.0
2024,MX,HVN,RSW,1869.0
2024,MX,HVN,VRB,955.0
2024,XP,HVN,MLB,532.0
2024,XP,HVN,PHL,124.0
2024,XP,HVN,CKB,115.0
2024,XP,HVN,CAE,79.0
2024,XP,HVN,ALB,0.0
2024,XP,HVN,BDL,0.0
2024,XP,HVN,BED,0.0
2024,XP,HVN,CLE,0.0
2024,XP,HVN,CLT,0.0
2024,XP,HVN,CMH,0.0
2024,XP,HVN,CVG,0.0
2024,XP,HVN,DAY,0.0
2024,XP,HVN,EWR,0.0
2024,XP,HVN,HPN,0.0
2024,XP,HVN,ILG,0.0
2024,XP,HVN,MSP,0.0
2024,XP,HVN,OKC,0.0
2024,XP,HVN,PSM,0.0
2024,XP,HVN,PVD,0.0
2024,XP,HVN,RIC,0.0
2024,XP,HVN,ROA,0.0
2024,XP,HVN,ROC,0.0
2024,XP,HVN,SYR,0.0
2024,XP,HVN,XNA,0.0
2025,XP,HVN,MCO,66128.0
2025,XP,HVN,FLL,46237.0
2025,XP,HVN,PBI,44320.0
2025,XP,HVN,RSW,39676.0
2025,XP,HVN,TPA,37882.0
2025,XP,HVN,RDU,33860.0
2025,XP,HVN,SRQ,31816.0
2025,MX,HVN,MCO,23677.0
2025,XP,HVN,MYR,23565.0
2025,XP,HVN,ATL,22299.0
2025,XP,HVN,SJU,21390.0
2025,XP,HVN,USA,19952.0
2025,XP,HVN,CHS,13972.0
2025,XP,HVN,DAB,12825.0
2025,XP,HVN,BNA,12114.0
2025,XP,HVN,ILM,12110.0
2025,MX,HVN,PBI,11582.0
2025,XP,HVN,LAL,11148.0
2025,MX,HVN,RSW,10525.0
2025,XP,HVN,HOU,9863.0
2025,XP,HVN,IAD,8950.0
2025,MX,HVN,VRB,8811.0
2025,XP,HVN,GSP,8050.0
2025,MX,HVN,CHS,7529.0
2025,XP,HVN,MSY,7314.0
2025,XP,HVN,JAX,7313.0
2025,XP,HVN,SAV,7026.0
2025,XP,HVN,BWI,6714.0
2025,XP,HVN,DFW,5967.0
2025,MX,HVN,ORF,4385.0
2025,MX,HVN,RDU,4303.0
2025,MX,HVN,JAX,3990.0
2025,XP,HVN,DTW,3219.0
2025,MX,HVN,RIC,3130.0
2025,XP,HVN,TYS,2405.0
2025,XP,HVN,VPS,2258.0
2025,XP,HVN,ORD,1505.0
2025,XP,HVN,BDL,883.0
2025,MX,HVN,SRQ,797.0
2025,XP,HVN,MDW,647.0
2025,XP,HVN,STL,227.0
2025,XP,HVN,ALB,196.0
2025,MX,HVN,PVD,160.0
2025,XP,HVN,PWM,144.0
2025,MX,HVN,SYR,123.0
2025,XP,HVN,PVD,112.0
2025,MX,HVN,BDL,99.0
2025,XP,HVN,FAY,99.0
2025,MX,HVN,AVP,68.0
2025,XP,HVN,ACY,67.0
2025,MX,HVN,SWF,55.0
2025,MX,HVN,IAD,41.0
2025,XP,HVN,BED,0.0
2025,XP,HVN,CMH,0.0
2025,XP,HVN,CWF,0.0
2025,XP,HVN,DAY,0.0
2025,XP,HVN,EVV,0.0
2025,XP,HVN,HPN,0.0
2025,XP,HVN,ILG,0.0
2025,XP,HVN,MHT,0.0
2025,XP,HVN,MIA,0.0
2025,XP,HVN,PIT,0.0
2025,XP,HVN,SCE,0.0
