year,carrier,origin,dest,passengers
2024,XP,HVN,MCO,8215.0
2024,XP,HVN,FLL,4281.0
2024,XP,HVN,RDU,4041.0
2024,XP,HVN,MYR,3975.0
2024,XP,HVN,ILM,3181.0
2024,XP,HVN,ATL,3035.0
2024,XP,HVN,USA,2908.0
2024,XP,HVN,RSW,2820.0
2024,XP,HVN,TPA,2794.0
2024,XP,HVN,PBI,2607.0
2024,XP,HVN,BNA,2208.0
2024,XP,HVN,GSP,2027.0
2024,XP,HVN,DAB,1790.0
2024,XP,HVN,CHS,1707.0
2024,XP,HVN,BWI,1434.0
2024,XP,HVN,SJU,1425.0
2024,XP,HVN,VPS,1341.0
2024,XP,HVN,TYS,1277.0
2024,XP,HVN,MDW,1259.0
2024,XP,HVN,SRQ,1229.0
2024,XP,HVN,LAL,1223.0
2024,XP,HVN,SAV,1191.0
2024,XP,HVN,HOU,1119.0
2024,XP,HVN,IAD,1090.0
2024,XP,HVN,STL,951.0
2024,XP,HVN,TVC,547.0
2024,XP,HVN,PSM,0.0
