year,carrier,origin,dest,passengers
2024,XP,HVN,MCO,8457.0
2024,XP,HVN,FLL,6282.0
2024,XP,HVN,PBI,5532.0
2024,XP,HVN,RSW,5343.0
2024,XP,HVN,RDU,5285.0
2024,XP,HVN,SRQ,4061.0
2024,XP,HVN,TPA,3943.0
2024,XP,HVN,USA,2656.0
2024,XP,HVN,ATL,2563.0
2024,XP,HVN,MYR,2296.0
2024,XP,HVN,SJU,2186.0
2024,MX,HVN,PBI,1391.0
2024,MX,HVN,MCO,1345.0
2024,XP,HVN,DAB,1309.0
2024,XP,HVN,LAL,1264.0
2024,XP,HVN,MDW,1229.0
2024,XP,HVN,ILM,1184.0
2024,XP,HVN,GSP,1174.0
2024,XP,HVN,IAD,1173.0
2024,XP,HVN,MSY,1067.0
2024,MX,HVN,RSW,1062.0
2024,XP,HVN,HOU,790.0
2024,XP,HVN,BNA,737.0
2024,XP,HVN,TYS,675.0
2024,XP,HVN,BWI,664.0
2024,XP,HVN,SAV,598.0
2024,XP,HVN,CHS,594.0
2024,MX,HVN,VRB,536.0
2024,XP,HVN,STL,423.0
2024,XP,HVN,CKB,115.0
