year,carrier,origin,dest,passengers
2024,XP,HVN,MCO,5767.0
2024,XP,HVN,PBI,4100.0
2024,XP,HVN,RSW,3842.0
2024,XP,HVN,TPA,3698.0
2024,XP,HVN,FLL,3598.0
2024,XP,HVN,RDU,2371.0
2024,XP,HVN,SRQ,2141.0
2024,XP,HVN,ILM,1242.0
2024,XP,HVN,DAB,1007.0
2024,XP,HVN,MYR,970.0
2024,XP,HVN,SJU,799.0
2024,XP,HVN,GSP,487.0
2024,XP,HVN,MDW,273.0
2024,XP,HVN,CHS,272.0
2024,XP,HVN,MLB,224.0
2024,XP,HVN,BWI,184.0
2024,XP,HVN,PVD,0.0
2025,XP,HVN,MCO,6723.0
2025,XP,HVN,FLL,5023.0
2025,XP,HVN,PBI,4563.0
2025,XP,HVN,TPA,3618.0
2025,XP,HVN,RSW,3577.0
2025,XP,HVN,RDU,3197.0
2025,XP,HVN,SRQ,2920.0
2025,XP,HVN,SJU,2378.0
2025,MX,HVN,MCO,2085.0
2025,XP,HVN,ATL,2039.0
2025,XP,HVN,USA,1960.0
2025,XP,HVN,MYR,1743.0
2025,MX,HVN,PBI,1256.0
2025,MX,HVN,RSW,1047.0
2025,XP,HVN,DAB,1000.0
2025,XP,HVN,HOU,921.0
2025,XP,HVN,LAL,916.0
2025,XP,HVN,IAD,891.0
2025,XP,HVN,MSY,729.0
2025,XP,HVN,ILM,656.0
2025,XP,HVN,BNA,611.0
2025,MX,HVN,VRB,580.0
2025,XP,HVN,MDW,332.0
2025,XP,HVN,TYS,258.0
2025,XP,HVN,GSP,238.0
2025,XP,HVN,CHS,217.0
2025,XP,HVN,SAV,202.0
2025,XP,HVN,STL,167.0
2025,XP,HVN,BWI,151.0
2025,XP,HVN,BDL,0.0
2025,XP,HVN,CMH,0.0
2025,XP,HVN,HPN,0.0
2025,XP,HVN,ILG,0.0
2025,XP,HVN,ORD,0.0
2025,XP,HVN,PIT,0.0
