dest,total_passengers,appearances
MCO,47042.0,4
FLL,27392.0,4
PBI,24635.0,4
RSW,22698.0,4
RDU,21833.0,4
TPA,19841.0,4
MYR,13979.0,4
SRQ,13343.0,4
ATL,12838.0,4
USA,11290.0,4
ILM,10985.0,4
SJU,9698.0,4
BNA,8042.0,4
DAB,7878.0,4
CHS,7290.0,4
GSP,6862.0,4
LAL,5049.0,4
BWI,4485.0,4
IAD,4215.0,4
SAV,4184.0,4
TYS,4008.0,4
HOU,3927.0,4
MDW,3463.0,4
MSY,1810.0,3
VRB,1578.0,3
STL,1541.0,3
VPS,3064.0,2
ORD,758.0,2
JAX,1449.0,1
DFW,1046.0,1
DTW,914.0,1
ORF,753.0,1
TVC,547.0,1
RIC,535.0,1
MLB,224.0,1
CKB,115.0,1
PWM,94.0,1
BDL,0.0,1
BED,0.0,1
CMH,0.0,1
HPN,0.0,1
ILG,0.0,1
PIT,0.0,1
PSM,0.0,1
PVD,0.0,1
ROA,0.0,1
SYR,0.0,1
