State,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alabama,2,3,4,3,6,6,3,4,9,3,8,4,4,6,2,9,7,6,6,3,5,8,5,5,8,8,7,6,4,4,7,9,9,13,11,11,10,9
Alaska,3,0,3,1,3,3,0,3,4,1,2,1,3,1,2,4,4,5,2,4,1,5,1,2,7,3,4,3,2,2,2,2,2,5,6,2,2,2
Arizona,5,7,6,11,4,8,3,7,9,9,9,11,8,5,10,8,14,8,14,12,9,6,8,8,9,8,12,13,17,7,15,8,20,16,20,17,13,19
Arkansas,4,4,3,2,6,4,3,2,4,3,4,1,5,1,6,2,3,2,5,4,1,3,2,4,2,3,4,6,3,1,1,4,9,3,4,8,6,2
California,92,99,129,141,120,140,152,157,182,192,151,176,157,162,158,182,149,175,212,187,176,153,172,165,169,178,163,191,169,175,213,187,211,152,235,178,202,215
Colorado,13,11,7,16,15,5,13,10,15,15,9,18,13,10,10,16,20,11,18,11,12,16,11,12,10,15,16,13,14,4,16,17,16,17,23,15,24,20
Connecticut,135,130,117,112,109,111,98,103,88,92,99,87,93,101,98,80,94,89,84,78,73,72,76,85,74,78,84,88,103,86,109,118,96,87,104,94,92,101
Delaware,4,5,5,5,3,2,3,4,2,13,3,5,4,6,3,0,5,3,2,3,4,3,3,3,3,4,4,4,2,3,3,2,5,5,4,2,6,7
District of Columbia,36,33,19,10,21,10,16,16,7,2,12,11,20,12,12,12,10,11,13,13,12,13,9,13,12,8,13,6,13,12,19,12,9,10,17,13,15,8
Florida,14,16,32,23,22,40,36,32,26,30,46,43,38,40,39,47,35,40,31,40,66,43,37,50,55,46,42,44,58,76,63,71,68,57,75,62,65,47
Georgia,16,6,17,23,10,21,19,19,23,13,24,13,17,26,24,25,27,17,27,21,21,33,30,18,22,31,34,36,32,38,43,42,41,33,43,40,31,27
Hawaii,10,4,8,3,5,8,5,7,13,8,4,9,9,7,6,3,8,7,7,7,7,8,8,6,7,4,5,10,8,6,5,6,6,4,10,12,10,10
Idaho,3,3,3,1,3,3,5,2,3,4,1,1,4,1,2,0,1,2,2,2,2,5,2,3,2,2,1,3,1,3,2,2,2,3,,3,2,5
Illinois,59,48,50,47,30,45,42,45,44,37,30,33,41,41,33,37,48,55,59,60,59,60,59,57,60,54,54,49,54,50,71,52,53,51,58,55,48,47
Indiana,13,3,8,13,3,5,2,6,10,4,6,8,5,6,7,11,8,14,12,7,7,5,7,6,12,15,9,14,12,10,13,11,4,6,3,7,7,10
International,69,54,57,75,76,71,72,78,114,130,121,116,116,136,132,127,156,126,113,148,143,155,145,181,156,173,164,168,173,181,189,201,187,143,265,224,239,200
Iowa,2,1,10,8,7,8,11,12,5,4,6,7,5,7,3,4,4,5,3,4,3,3,2,3,4,5,4,4,2,4,2,3,5,3,4,3,6,2
Kansas,9,3,3,6,10,6,6,2,4,12,8,5,6,5,6,5,5,4,5,3,3,7,7,1,6,7,6,2,4,3,3,6,8,1,11,2,2,6
Kentucky,8,5,3,8,8,10,7,7,8,9,3,5,6,10,7,4,5,5,10,10,6,3,8,12,8,8,8,8,6,8,6,10,9,13,12,10,10,4
Louisiana,5,3,12,7,5,5,5,6,6,8,6,8,7,9,6,5,6,10,7,3,5,3,6,4,5,6,6,8,7,5,6,16,11,10,16,5,14,8
Maine,12,7,10,11,10,6,8,7,8,10,9,7,8,11,11,7,8,4,9,6,5,9,10,8,4,6,7,7,7,6,9,8,9,3,10,9,4,6
Maryland,20,28,49,51,44,45,42,37,45,54,42,51,61,53,48,48,51,39,33,40,42,44,48,38,41,53,41,35,47,39,52,56,59,34,53,37,35,40
Massachusetts,81,93,75,78,83,101,77,64,61,85,68,61,82,70,63,69,76,69,81,66,74,67,68,72,70,65,80,70,61,67,77,66,66,57,77,73,83,66
Michigan,22,14,17,20,25,17,24,16,19,15,22,23,26,26,24,25,24,19,17,20,30,19,29,16,21,25,23,28,24,23,19,20,15,13,22,23,16,19
Minnesota,16,10,16,21,13,15,15,13,10,19,16,9,17,11,13,11,9,11,13,19,17,18,16,14,20,26,19,20,19,15,20,15,23,15,21,24,21,16
Mississippi,2,3,2,0,2,6,3,4,3,2,3,0,6,5,8,5,4,3,1,2,1,3,3,5,5,3,3,2,4,6,5,4,7,10,4,3,5,7
Missouri,17,17,11,21,26,14,20,17,9,23,12,12,12,7,16,4,14,11,11,14,19,12,16,14,18,16,10,7,8,13,18,10,9,13,12,13,11,8
Montana,3,4,1,5,2,4,0,3,3,2,0,2,3,0,3,2,3,3,3,2,1,2,2,1,1,2,3,3,2,3,4,2,1,1,4,3,5,6
Nebraska,1,3,2,5,2,1,4,2,7,5,5,1,1,3,4,4,3,2,1,1,2,3,1,3,1,1,1,4,1,4,2,2,3,3,,4,3,2
Nevada,2,1,0,3,3,2,2,5,5,0,0,3,1,2,5,5,3,5,4,6,3,4,6,3,1,3,3,2,5,5,3,3,6,5,7,8,11,7
New Hampshire,14,9,12,8,7,8,8,2,8,12,8,8,5,9,6,7,11,1,7,6,6,9,7,6,8,6,8,6,2,6,6,8,4,6,6,11,10,9
New Jersey,90,89,83,81,79,80,85,85,74,91,86,81,66,77,58,69,75,67,59,81,80,77,66,67,77,63,73,79,73,62,85,84,80,52,78,73,78,49
